US1CASR0023,20100122,PRCP,356,Unnamed: 4,Unnamed: 5,N,1900
US1CASR0023,20100127,PRCP,89,,,N,700
US1CASR0023,20100206,PRCP,234,,,N,1030
US1CASR0023,20100207,PRCP,13,,,N,930
US1CASR0023,20100210,PRCP,20,,,N,900
US1CASR0023,20100228,PRCP,91,,,N,1600
US1CASR0023,20100307,PRCP,81,,,N,1700
US1CASR0023,20100405,PRCP,48,,,N,1800
US1CASR0023,20100422,PRCP,58,,,N,900
US1CASR0023,20101006,PRCP,13,,,N,1400
US1CASR0023,20101019,PRCP,71,,,N,1650
US1CASR0023,20101020,PRCP,290,,,N,1400
US1CASR0023,20101220,PRCP,371,,,N,700
US1CASR0023,20101221,PRCP,376,,,N,700
US1CASR0023,20101222,PRCP,488,,,N,700
US1CASR0023,20101223,PRCP,94,,,N,700
US1CASR0023,20101226,PRCP,71,,,N,700
US1CASR0023,20101229,PRCP,43,,,N,700
US1CASR0023,20110220,PRCP,91,,,N,700
US1CASR0023,20110226,PRCP,46,,,N,800
US1CASR0023,20110318,PRCP,43,,,N,700
US1CASR0023,20110324,PRCP,10,,,N,700
US1CASR0023,20110510,PRCP,10,,,N,700
US1CASR0023,20110911,PRCP,112,,,N,700
US1CASR0023,20111105,PRCP,86,,,N,700
US1CASR0023,20111106,PRCP,10,,,N,1000
US1CASR0023,20111121,PRCP,53,,,N,700
US1CASR0023,20111214,PRCP,41,,,N,700
US1CASR0023,20120124,PRCP,43,,,N,700
US1CASR0023,20120215,PRCP,38,,,N,700
US1CASR0023,20120326,PRCP,36,,,N,700
US1CASR0023,20120414,PRCP,117,,,N,700
US1CASR0023,20120426,PRCP,36,,,N,700
US1CASR0023,20120705,PRCP,97,,,N,700
US1CASR0023,20120715,PRCP,18,,,N,700
US1CASR0023,20120808,PRCP,91,,,N,700
US1CASR0023,20120830,PRCP,25,,,N,700
US1CASR0023,20121214,PRCP,132,,,N,700
US1CASR0023,20121220,PRCP,36,,,N,700
US1CASR0023,20121227,PRCP,30,,,N,700
US1CASR0023,20130107,PRCP,13,,,N,700
US1CASR0023,20130125,PRCP,23,,,N,700
US1CASR0023,20130126,PRCP,56,,,N,700
US1CASR0023,20130221,PRCP,36,,,N,700
US1CASR0023,20130221,SNOW,30,,,N,700
US1CASR0023,20130221,WESF,36,,,N,700
US1CASR0023,20130309,PRCP,99,,,N,700
US1CASR0023,20130309,SNOW,43,,,N,700
US1CASR0023,20130309,SNWD,0,,,N,700
US1CASR0023,20130723,PRCP,74,,,N,700
US1CASR0023,20130820,PRCP,10,,,N,700
US1CASR0023,20131122,PRCP,175,,,N,700
US1CASR0023,20131123,PRCP,198,,,N,700
US1CASR0023,20140301,PRCP,163,,,N,700
US1CASR0023,20140330,PRCP,15,,,N,724
US1CASR0023,20140401,PRCP,30,,,N,700
US1CASR0023,20140426,PRCP,30,,,N,700
US1CASR0023,20140522,PRCP,20,,,N,700
US1CASR0023,20140523,PRCP,10,,,N,700
US1CASR0023,20140728,PRCP,81,,,N,800
US1CASR0023,20140804,PRCP,272,,,N,700
US1CASR0023,20140908,PRCP,69,,,N,700
US1CASR0023,20140909,PRCP,74,,,N,700
US1CASR0023,20141101,PRCP,23,,,N,700
US1CASR0023,20141203,PRCP,97,,,N,700
US1CASR0023,20141204,PRCP,30,,,N,700
US1CASR0023,20141213,PRCP,69,,,N,700
US1CASR0023,20141217,PRCP,48,,,N,700
US1CASR0023,20150111,PRCP,36,,,N,700
US1CASR0023,20150112,PRCP,145,,,N,700
US1CASR0023,20150127,PRCP,81,,,N,700
US1CASR0023,20150130,PRCP,10,,,N,700
US1CASR0023,20150131,PRCP,23,,,N,700
US1CASR0023,20150208,PRCP,10,,,N,700
US1CASR0023,20150223,PRCP,137,,,N,700
US1CASR0023,20150319,PRCP,18,,,N,700
US1CASR0023,20150422,PRCP,5,,,N,700
US1CASR0023,20150423,PRCP,18,,,N,700
US1CASR0023,20150424,PRCP,5,,,N,700
US1CASR0023,20150707,PRCP,15,,,N,700
US1CASR0023,20150719,PRCP,117,,,N,700
US1CASR0023,20150720,PRCP,119,,,N,700
US1CASR0023,20150731,PRCP,8,,,N,700
US1CASR0023,20150807,PRCP,5,,,N,700
US1CASR0023,20150910,PRCP,142,,,N,700
US1CASR0023,20150916,PRCP,163,,,N,700
US1CASR0023,20151006,PRCP,36,,,N,700
US1CASR0023,20151015,PRCP,30,,,N,700
US1CASR0023,20151019,PRCP,61,,,N,700
US1CASR0023,20151029,PRCP,8,,,N,700
US1CASR0023,20151103,PRCP,25,,,N,700
US1CASR0023,20151116,PRCP,13,,,N,700
US1CASR0023,20151214,PRCP,30,,,N,700
US1CASR0023,20151220,PRCP,48,,,N,700
US1CASR0023,20160106,PRCP,81,,,N,700
US1CASR0023,20160107,PRCP,71,,,N,700
US1CASR0023,20160120,PRCP,74,,,N,700
US1CASR0023,20160201,PRCP,30,,,N,700
US1CASR0023,20160218,PRCP,38,,,N,700
US1CASR0023,20160307,PRCP,56,,,N,700
US1CASR0023,20160308,PRCP,3,,,N,700
US1CASR0023,20160312,PRCP,25,,,N,700
US1CASR0023,20160409,PRCP,163,,,N,700
US1CASR0023,20160410,PRCP,10,,,N,700
US1CASR0023,20160428,PRCP,13,,,N,700
US1CASR0023,20160501,PRCP,10,,,N,700
US1CASR0023,20160518,PRCP,30,,,N,700
US1CASR0023,20160526,PRCP,3,,,N,700
US1CASR0023,20160701,PRCP,0,,,N,2000
US1CASR0023,20160702,PRCP,135,,,N,700
US1CASR0023,20160701,SNOW,0,,,N,2000
US1CASR0023,20161024,PRCP,206,,,N,700
US1CASR0023,20161025,PRCP,10,,,N,700
US1CASR0023,20161121,PRCP,20,,,N,700
US1CASR0023,20161127,PRCP,8,,,N,700
US1CASR0023,20161128,PRCP,0,T,,N,700
US1CASR0023,20161216,PRCP,5,,,N,700
US1CASR0023,20161217,PRCP,10,,,N,700
US1CASR0023,20161222,PRCP,155,,,N,700
US1CASR0023,20161223,PRCP,36,,,N,700
US1CASR0023,20161224,PRCP,56,,,N,700
US1CASR0023,20161231,PRCP,3,,,N,700
US1CASR0023,20170101,PRCP,307,,,N,700
US1CASR0023,20170107,PRCP,8,,,N,700
US1CASR0023,20170108,PRCP,46,,,N,700
US1CASR0023,20170109,PRCP,53,,,N,700
US1CASR0023,20170111,PRCP,3,,,N,700
US1CASR0023,20170112,PRCP,5,,,N,700
US1CASR0023,20170113,PRCP,36,,,N,700
US1CASR0023,20170114,PRCP,132,,,N,700
US1CASR0023,20170119,PRCP,18,,,N,800
US1CASR0023,20170120,PRCP,10,,,N,700
US1CASR0023,20170121,PRCP,56,,,N,700
US1CASR0023,20170122,PRCP,36,,,N,700
US1CASR0023,20170123,PRCP,56,,,N,700
US1CASR0023,20170124,PRCP,23,,,N,700
US1CASR0023,20170211,PRCP,48,,,N,700
US1CASR0023,20170217,PRCP,13,,,N,900
US1CASR0023,20170218,PRCP,71,,,N,700
US1CASR0023,20170219,PRCP,8,,,N,700
US1CASR0023,20170226,PRCP,30,,,N,700
US1CASR0023,20180502,PRCP,224,,,N,700
US1CASR0023,20181130,PRCP,86,,,N,800
US1CASR0023,20181205,PRCP,8,,,N,700
US1CASR0023,20181206,PRCP,15,,,N,700
US1CASR0023,20181207,PRCP,86,,,N,700
US1CASR0023,20190106,PRCP,25,,,N,700
US1CASR0023,20190113,PRCP,46,,,N,700
US1CASR0023,20190115,PRCP,53,,,N,700
US1CASR0023,20190116,PRCP,8,,,N,700
US1CASR0023,20190117,PRCP,10,,,N,700
US1CASR0023,20190118,PRCP,81,,,N,700
US1CASR0023,20190202,PRCP,25,,,N,700
US1CASR0023,20190203,PRCP,30,,,N,700
US1CASR0023,20190209,PRCP,10,,,N,700
US1CASR0023,20190214,PRCP,56,,,N,700
US1CASR0023,20190215,PRCP,168,,,N,700
US1CASR0023,20190218,PRCP,8,,,N,700
US1CASR0023,20190221,PRCP,10,,,N,700
US1CASR0023,20190222,PRCP,36,,,N,700
US1CASR0023,20190222,SNOW,8,,,N,700
US1CASR0023,20190302,PRCP,36,,,N,700
US1CASR0023,20190306,PRCP,71,,,N,700
US1CASR0023,20190307,PRCP,43,,,N,700
US1CASR0023,20190312,PRCP,107,,,N,700
US1CASR0023,20190313,PRCP,10,,,N,700
US1CASR0023,20190320,PRCP,0,T,,N,700
US1CASR0023,20190321,PRCP,5,,,N,700
US1CASR0023,20190517,PRCP,15,,,N,700
US1CASR0023,20190519,PRCP,13,,,N,700
US1CASR0023,20190520,PRCP,30,,,N,700
US1CASR0023,20190523,PRCP,58,,,N,700
US1CASR0023,20191128,PRCP,20,,,N,700
US1CASR0023,20191129,PRCP,122,,,N,700
US1CASR0023,20191204,PRCP,30,,,N,700
US1CASR0023,20191205,PRCP,89,,,N,700
US1CASR0023,20191209,PRCP,43,,,N,700
US1CASR0023,20191226,PRCP,10,,,N,700
US1CASR0023,20191227,PRCP,315,,,N,800
US1CASR0023,20200310,PRCP,36,,,N,700
US1CASR0023,20200311,PRCP,61,,,N,700
US1CASR0023,20200313,PRCP,290,,,N,700
US1CASR0023,20200317,PRCP,71,,,N,700
US1CASR0023,20200323,PRCP,48,,,N,700
US1CASR0023,20200327,PRCP,0,T,,N,700
US1CASR0023,20200407,PRCP,86,,,N,700
US1CASR0023,20200408,PRCP,180,,,N,700
US1CASR0023,20200409,PRCP,130,,,N,700
US1CASR0023,20200410,PRCP,157,,,N,700
US1CASR0023,20200411,PRCP,10,,,N,700
US1CASR0023,20200626,PRCP,5,,,N,700
US1CASR0023,20210124,PRCP,36,,,N,700
US1CASR0023,20210125,PRCP,18,,,N,700
US1CASR0023,20210129,PRCP,36,,,N,700
US1CASR0023,20210719,PRCP,13,,,N,700
US1CASR0023,20210726,PRCP,25,,,N,700
US1CASR0023,20210727,PRCP,20,,,N,1930
US1CASR0023,20210728,PRCP,30,,,N,700
US1CASR0023,20211026,PRCP,175,,,N,700
US1CASR0023,20211215,PRCP,56,,,N,700
US1CASR0023,20211224,PRCP,56,,,N,700
US1CASR0023,20211226,PRCP,5,,,N,700
US1CASR0023,20211230,PRCP,5,,,N,700
US1CASR0023,20220118,PRCP,13,,,N,700
US1CASR0023,20220422,PRCP,23,,,N,700
US1CASR0023,20220623,PRCP,20,,,N,700
US1CASR0023,20220805,PRCP,10,,,N,2120
US1CASR0023,20220809,PRCP,97,,,N,700
US1CASR0023,20221108,PRCP,18,,,N,700
US1CASR0023,20221109,PRCP,175,,,N,700
US1CASR0023,20221212,PRCP,61,,,N,700
US1CASR0023,20221228,PRCP,46,,,N,700
US1CASR0023,20230101,PRCP,41,,,N,700
US1CASR0023,20230103,PRCP,8,,,N,700
